district_id,total_post,total_users,Groups,district,region,districts_count
943,87,78,1,araj,1,86
74,723,479,1,mirdamad,3,86
280,70,68,3,pamenar,12,130
996,45,44,3,sirous,12,130
62,184,161,1,kamraniyeh,1,86
182,6,6,2,mehrabad-airport,9,133
658,389,337,1,valiasr,6,86
186,653,496,2,south-mehrabad,9,133
910,29,28,2,shahrak-pasdaran,21,133
171,452,317,1,tarasht,2,86
290,70,66,3,soleymanieh,14,130
639,364,344,3,qiamdash,15,130
1034,160,137,2,sharif,22,133
1035,28,25,1,shirazi,3,86
260,32,31,2,shaharak-e-sharifi,19,133
1001,165,142,2,tehran-zanjan,10,133
1018,102,96,3,minabi,15,130
199,1498,1039,3,fallah,17,130
269,115,102,3,vasfenard,17,130
66,196,162,1,dezashib,1,86
154,69,68,2,baharan,5,133
265,472,419,3,javadiyeh,16,130
1031,1601,917,2,chitgar-lake,22,133
657,2097,1494,2,jeyhoun,10,133
162,72,63,2,shahrak-e-cheshmeh,22,133
954,412,332,2,south-narmak,8,133
967,116,100,3,nabi-akram,14,130
164,172,140,2,shahrak-e-azadi,21,133
931,118,95,1,hekmat,1,86
360,103,92,1,amaniyeh,3,86
986,500,454,3,estakhr-rey,20,130
134,1126,742,2,niroo-havayi,13,133
245,315,297,3,karevan,15,130
971,20,19,3,jaberi,14,130
1027,30,27,3,abdollah-abad,20,130
175,56,49,2,shaharak-e-esteqlal,21,133
914,87,80,2,sar-asiyab-mehr-abad,9,133
991,291,262,3,tehran-iran,12,130
233,719,559,3,dolat-abad,20,130
92,474,434,3,baharestan,12,130
163,46,45,2,azadi-sport-complex,22,133
308,53,34,2,shahrak-e-vilashahr,21,133
930,43,42,1,bagh-ferdows,1,86
118,228,190,2,dardasht,8,133
272,220,191,3,doolab,14,130
916,307,212,3,tolid-daroo,18,130
75,5911,2219,1,saadat-abad,2,86
302,1129,690,2,north-sohrevardi,7,133
984,51,43,3,sartakht,20,130
172,1196,944,1,sadeghiyeh,2,86
78,1522,880,1,shahrak-e-gharb,2,86
924,5,5,1,hezarsang,1,86
973,107,101,3,saheb-al-zaman,14,130
955,139,121,2,zarkesh,8,133
1020,798,617,3,abouzar,15,130
125,1003,707,2,shams-abad,4,133
140,51,47,2,shahrak-e-koohsar,5,133
298,204,157,1,iranshahr,6,86
1015,154,149,3,bisim,15,130
289,120,112,3,sad-dastgah,14,130
983,228,216,3,sizdah-aban,20,130
913,120,110,3,saeed-abad,18,130
374,542,405,2,vardavard,21,133
1014,52,45,3,imam-sajjad,17,130
935,193,154,1,nosrat,6,86
216,156,131,3,hasan-abad-baqer-far,20,130
286,205,163,2,eshrat-abad,7,133
999,92,85,3,salamat,11,130
173,436,328,2,aboozar,5,133
194,1278,990,3,shahrak-e-vali-e-asr,18,130
59,86,81,1,farahzad,2,86
122,2,2,2,zeynabeiyeh,13,133
960,477,390,2,tehran-gorgan,7,133
985,98,92,3,hamzeh-abad,20,130
1030,176,131,2,shahrak-shahid-bagheri,22,133
81,76,69,1,vanak-village,3,86
165,927,660,2,west-shahrak-e-golestan,22,133
315,754,489,1,vanak,3,86
195,706,587,2,ostad-moein,9,133
82,4686,2496,2,poonak,5,133
133,475,391,2,vahidiyeh,8,133
980,290,279,3,taqiabad-rey,20,130
42,1687,1067,1,niavaran,1,86
151,613,467,2,north-shahran,5,133
1028,169,137,1,tehran-jolfa,3,86
90,850,541,1,yousef-abad,6,86
159,127,106,2,shahrak-e-parvaz,5,133
256,48,45,3,esfandyari,19,130
312,1118,769,2,shahid-navab-safavi,10,133
1029,206,165,2,dr-hoshyar,9,133
297,141,122,1,behjat-abad,6,86
117,135,114,2,sarsabz,8,133
291,170,155,3,farah-abad,14,130
1019,377,342,3,atabak,15,130
121,941,636,2,hakimiyeh,4,133
46,64,60,1,golab-dareh,1,86
217,8,8,3,baq-e-rezavan,20,130
284,1373,1003,2,sarsabil,10,133
987,622,479,3,aqdasiyeh-rey,20,130
1008,94,88,3,tehran-shandiz,17,130
70,415,328,1,gholhak,3,86
300,425,327,1,abbas-abad,6,86
1004,58,55,2,shabiri,10,133
99,200,189,3,hassan-abad,11,130
937,63,55,2,tehran-khaghani,7,133
976,63,62,3,mesgar-abad,15,130
231,145,139,3,javanmard-e-ghasab,20,130
86,1285,703,1,jordan,3,86
109,3403,2323,2,east-tehranpars,4,133
918,140,130,3,dolatkhah,19,130
1006,186,165,2,haftchenar,10,133
60,205,159,1,mahmoodiyeh,1,86
189,413,370,3,shadabad,18,130
1026,61,60,3,east-saleh-abad,20,130
311,282,246,2,azad-shahr,22,133
93,619,583,3,bazaar,12,130
969,283,265,3,shokoofeh,14,130
40,591,383,1,ajoodanieh,1,86
204,387,271,1,jamalzadeh,6,86
251,233,214,3,charsad-dastgah,14,130
259,22,22,3,shahrak-e-aboozar,19,130
282,222,185,3,hor-square,11,130
285,378,325,3,darvazeh-shemiran,12,130
147,267,211,2,shahin,5,133
908,109,102,2,havanirooz,22,133
1032,1,1,2,shahrak-daneshgahi,21,133
240,468,437,3,shoosh,15,130
263,86,82,3,eslam-abad,18,130
1003,100,96,2,shahid-dastgheyb,9,133
1017,501,444,3,khavaran,14,130
64,1413,867,1,farmaniyeh,1,86
917,61,57,3,behdasht,18,130
1022,116,109,3,bagh-khazaneh,17,130
281,167,132,3,sheykh-hadi,11,130
91,564,356,1,amir-abad,6,86
152,499,367,2,south-shahran,5,133
956,217,177,2,taslihat,8,133
45,44,37,1,emamzade-ghasem,1,86
47,279,206,1,darabad,1,86
53,421,282,1,ozgol,1,86
148,1222,830,2,south-janat-abad,5,133
972,67,61,3,shahed,14,130
169,18,17,2,shahrak-e-apadana,5,133
273,1277,1001,3,ahang,14,130
1033,92,89,2,shahrak-daneshgah-tehran,21,133
211,14,13,1,qezel-qaleh,6,86
