Row Labels,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,71,72,74,75,78,81,82,84,85,86,87,88,90,91,92,93,94,95,96,99,103,104,105,106,108,109,110,112,113,115,116,117,118,119,120,121,123,125,126,127,128,130,131,132,133,134,138,139,140,141,143,145,146,147,148,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,167,168,169,170,171,172,173,174,175,178,179,180,182,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,208,209,210,211,212,214,216,217,219,220,221,224,227,228,231,232,233,234,235,236,240,241,243,245,246,249,250,251,252,253,254,255,256,257,259,260,262,263,264,265,266,268,269,270,272,273,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,297,298,299,300,301,302,306,307,308,311,312,313,315,360,374,399,418,419,420,421,422,424,425,426,427,637,638,639,653,654,655,656,657,658,673,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,990,991,992,993,994,995,996,997,998,999,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035
40,844,547,46,14,9,5,82,352,38,5,5,54,83,24,19,42,2,1,,6,37,206,12,523,247,80,84,65,16,47,7,5,13,3,,12,2,50,21,4,1,2,3,,,,5,1,,3,5,,1,8,3,,3,,1,1,,,,,3,1,,5,,3,1,2,,,1,1,2,,,,2,3,2,2,2,,,,1,2,,3,,,3,,,,4,2,1,,1,,4,,,,3,,,,,,,,1,1,,,1,,,,,1,2,,1,1,,,,5,,2,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,1,,,,,,,2,,1,,1,5,6,8,,,,,,4,2,1,4,7,3,8,16,4,,,1,3,,,1,1,3,2,,2,2,,8,,5,,,,,,,,,,,3,,,,,2,,1,1,,4,22,,,2,,,,,3,3,4,3,37,3,,,,,,2,2,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,21,1,,,5,,,9,,,1,
42,547,2806,65,59,19,13,168,774,76,6,10,121,184,123,153,229,14,15,1,51,171,585,39,1481,809,288,264,189,77,148,49,55,54,26,1,28,6,294,116,2,8,18,9,3,1,4,24,9,1,6,9,,1,18,10,1,,1,2,,1,,,,2,2,11,15,1,5,,2,2,2,2,1,11,,,1,13,6,1,8,4,1,,,6,1,,5,,2,3,,,,6,2,,,6,2,12,4,1,,5,,,,,,,1,2,,,,1,,,2,3,3,2,2,1,2,2,1,1,13,1,6,,2,,,,1,,1,,1,,,,,,1,,1,,,,,,2,2,,,3,1,,1,,,1,,,,1,1,3,,,,1,2,2,,,3,,1,,1,1,,2,5,1,,,,,4,7,3,5,8,13,31,11,,,,5,1,28,8,,14,9,1,10,35,4,1,2,4,3,,,,5,1,1,1,2,11,,8,1,4,,,1,,,,2,,2,,10,2,,1,,1,,1,,2,17,79,,,4,,2,,6,,14,12,8,59,3,2,,1,,,5,,,,,,,,4,3,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,2,4,1,5,,,,,,,,,,,,,1,,,,,1,,,,1,4,,,,2,,,64,4,,,10,,,14,,,,3
43,46,65,114,6,4,4,27,31,3,3,,15,11,5,5,5,,1,,2,5,17,5,52,24,15,8,11,3,3,1,1,1,,,1,,4,1,,,,,,,,2,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,5,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,8,,,,,,,,,1,2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,
44,14,59,6,84,6,4,18,22,1,1,1,4,18,17,17,23,2,,1,9,6,28,10,47,32,29,5,4,2,5,1,,3,3,1,3,,20,3,1,1,3,2,1,,,,,,1,1,1,,3,1,,,1,,,1,,1,,2,,,1,,,,1,,,,1,2,,,,,,1,1,,,,,,,,2,,,1,1,,,2,,,1,,1,3,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,1,1,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,1,1,,,,,,1,,,,,,,,,1,,,1,1,,1,,,,,,2,,,2,,1,,1,1,,,,1,,,,,1,,,1,1,,1,,,,,,,,1,,,,,,1,,1,,,,,,1,2,8,,,,,1,,,,,1,1,3,,,,,1,,2,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,
45,9,19,4,6,41,5,5,8,2,,1,3,4,8,3,4,,,,,3,9,2,18,10,10,3,8,,4,2,,,,,,,2,2,,,,,,,,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,
46,5,13,4,4,5,28,7,5,,1,,3,2,10,4,3,,1,,1,5,6,1,9,9,9,2,2,,2,,1,,,,,,4,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,82,168,27,18,5,7,310,111,36,3,7,65,63,22,16,20,1,1,1,6,20,36,7,122,95,45,24,29,14,13,7,3,4,1,1,2,,14,4,,,1,1,2,,2,4,,,5,9,1,1,5,6,1,1,,1,1,,,1,,2,1,3,4,1,3,,,,,,,1,,,,3,,,,1,,,,,,,1,,,,,,,,,,,,2,2,,,,1,,,,,,,,1,,,,,,,2,1,1,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,2,3,1,,,,,,3,,,2,4,2,4,4,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,1,1,,,1,,2,3,,29,,,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,12,,,,1,,,1,,,,
48,352,774,31,22,8,5,111,1235,61,5,6,107,181,31,41,67,3,3,,11,54,321,18,746,331,111,135,95,27,64,23,24,18,6,2,12,5,81,33,2,3,10,3,3,1,1,6,3,1,5,7,1,,13,5,1,2,,1,1,,,3,,4,2,9,9,2,2,,3,1,,1,2,3,,,,6,3,,7,1,,,,,1,,4,,,4,1,,,4,2,,,1,1,7,2,,,3,,,,,,,1,2,1,,,2,,,1,1,4,4,1,1,2,2,2,2,5,,2,1,1,1,,,1,,,,1,,,,,,,,,,,,1,,,2,,,1,1,,,,,,,,,1,,1,,,,1,3,,,1,2,,1,,1,1,1,1,,,,,,,4,2,1,1,3,6,10,8,,,,1,1,12,1,1,6,9,2,12,21,2,,1,1,2,,,,3,2,3,1,2,4,,6,1,2,,,,,1,1,2,,,,4,1,,,,1,,1,,1,5,31,,,3,,4,,,1,3,10,7,66,3,3,,1,1,,2,,1,,,1,,,4,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,2,,,4,2,3,,,,,,,,1,,,,,,,,,,1,,,,,2,,2,2,2,,,47,3,,,6,,,8,,,,
49,38,76,3,1,2,,36,61,207,7,27,58,50,7,3,2,,,1,3,5,18,4,60,35,21,22,15,4,14,2,1,5,2,,2,1,2,2,,,,,,,,1,,,1,2,1,,5,2,,2,,,,1,,,,2,,2,1,1,,,,,,3,,2,,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,1,,,2,,,3,,2,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,1,1,24,,2,,,,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,
