post_price_effect_share,post_price_effect_count,post_price_effect_percent,district_price_effect
-40,-0.4,-28.57142857,0
38.46153846,2.692307692,62.5,0
-300,-3,-75,0
-775,-7.75,-88.57142857,0
-40,-0.4,-28.57142857,0
-242.8571429,-2.428571429,-70.83333333,0
0,0,0,0
-28.57142857,-0.285714286,-22.22222222,0
-33.33333333,-0.333333333,-25,0
-50,-0.5,-33.33333333,0
-8.333333333,-0.166666667,-7.692307692,0
50,1,100,0
-183.3333333,-1.833333333,-64.70588235,0
-100,-1,-50,0
-44.44444444,-0.888888889,-30.76923077,0
0,0,0,0
-175,-1.75,-63.63636364,0
-784.6153846,-7.846153846,-88.69565217,0
-314.2857143,-3.142857143,-75.86206897,0
24.44444444,1.222222222,32.35294118,0
15.38461538,0.461538462,18.18181818,0
-62.5,-2.5,-38.46153846,0
-5.555555556,-0.166666667,-5.263157895,0
0,0,0,0
-120,-1.2,-54.54545455,0
0,0,0,0
80,4,400,0
-75,-0.75,-42.85714286,0
-75,-1.5,-42.85714286,0
1.666666667,0.083333333,1.694915254,0
-114.2857143,-1.142857143,-53.33333333,0
-41.66666667,-0.833333333,-29.41176471,0
-35.8974359,-2.153846154,-26.41509434,0
-100,-1,-50,0
-170,-1.7,-62.96296296,0
0,0,0,0
-20,-0.2,-16.66666667,0
-10,-0.2,-9.090909091,0
52.10084034,8.857142857,108.7719298,0
54.08163265,11.35714286,117.7777778,0
-165.3846154,-3.307692308,-62.31884058,0
66.66666667,2,200,0
83.33333333,10,500,0
62.5,1.875,166.6666667,0
0,0,0,0
36.26373626,2.538461538,56.89655172,0
44.44444444,1.333333333,80,0
-33.33333333,-0.333333333,-25,0
75,9,300,0
50,1,100,0
0,0,0,0
39.28571429,2.75,64.70588235,0
-52.77777778,-1.583333333,-34.54545455,0
0,0,0,0
50,1.5,100,0
-50,-0.5,-33.33333333,0
0,0,0,0
50,1,100,0
-7.692307692,-0.384615385,-7.142857143,0
-187.5,-3.75,-65.2173913,0
0,0,0,0
-80,-0.8,-44.44444444,0
17.5,0.7,21.21212121,0
-40,-0.8,-28.57142857,0
-20,-0.2,-16.66666667,0
0,0,0,0
66.66666667,2,200,0
-25,-0.25,-20,0
16.66666667,0.333333333,20,0
-66.66666667,-0.666666667,-40,0
-55,-1.1,-35.48387097,0
38.0952381,1.142857143,61.53846154,0
0,0,0,0
50,1,100,0
60.13986014,6.615384615,150.877193,0
-50,-0.5,-33.33333333,0
-85.71428571,-0.857142857,-46.15384615,0
-37.5,-0.75,-27.27272727,0
-50,-1,-33.33333333,0
-25,-0.5,-20,0
-520,-5.2,-83.87096774,0
45.83333333,1.833333333,84.61538462,0
33.33333333,1,50,0
-9.090909091,-0.272727273,-8.333333333,0
0,0,0,0
-75,-1.5,-42.85714286,0
-6.25,-0.25,-5.882352941,0
0,0,0,0
0,0,0,0
70.45454545,2.818181818,238.4615385,0
-50,-1,-33.33333333,0
-66.66666667,-0.666666667,-40,0
48.46153846,4.846153846,94.02985075,0
-100,-1,-50,0
-16.66666667,-0.333333333,-14.28571429,0
0,0,0,0
0,0,0,0
50,1,100,0
-50,-0.5,-33.33333333,0
-40.81632653,-2.857142857,-28.98550725,0
-60,-0.6,-37.5,0
-39.39393939,-1.181818182,-28.26086957,0
-138.4615385,-1.384615385,-58.06451613,0
-175,-1.75,-63.63636364,0
75,3,300,0
-170,-1.7,-62.96296296,0
0,0,0,0
55.55555556,1.666666667,125,0
-90,-0.9,-47.36842105,0
-75,-0.75,-42.85714286,0
0,0,0,0
55.55555556,1.666666667,125,0
55.55555556,1.666666667,125,0
28.57142857,2.857142857,40,0
-11.36363636,-0.454545455,-10.20408163,0
-60,-1.2,-37.5,0
-38.57142857,-2.7,-27.83505155,0
25,0.5,33.33333333,0
-100,-1,-50,0
0,0,0,0
-20,-0.2,-16.66666667,0
50,1,100,0
16.66666667,0.666666667,20,0
0,0,0,0
25,0.5,33.33333333,0
14.28571429,1,16.66666667,0
0,0,0,0
-82.05128205,-2.461538462,-45.07042254,0
-187.5,-1.875,-65.2173913,0
0,0,0,0
-30,-1.2,-23.07692308,0
-33.33333333,-0.333333333,-25,0
0,0,0,0
-300,-3,-75,0
0,0,0,0
58,5.8,138.0952381,0
0,0,0,0
0,0,0,0
35,2.8,53.84615385,0
-200,-2,-66.66666667,0
-16.66666667,-0.166666667,-14.28571429,0
0,0,0,0
20,1,25,0
-83.33333333,-0.833333333,-45.45454545,0
-50,-0.5,-33.33333333,0
-100,-1,-50,0
0,0,0,0
0,0,0,0
0,0,0,0
-281.8181818,-2.818181818,-73.80952381,0
62.5,4.375,166.6666667,0
22.5,0.9,29.03225806,0
33.33333333,1,50,0
-122.2222222,-1.222222222,-55,0
-100,-2,-50,0
-11.11111111,-0.333333333,-10,0
35.71428571,1.428571429,55.55555556,0
62.12121212,6.833333333,164,0
-25,-0.5,-20,0
-150,-1.5,-60,0
-50,-0.5,-33.33333333,0
-160,-1.6,-61.53846154,0
16.66666667,0.333333333,20,0
50,1,100,0
-100,-1,-50,0
-15.38461538,-0.461538462,-13.33333333,0
55.55555556,3.333333333,125,0
0,0,0,0
50,1,100,0
33.33333333,1,50,0
0,0,0,0
-100,-1,-50,0
-60,-0.6,-37.5,0
-36.92307692,-1.846153846,-26.96629213,0
66.66666667,2,200,0
11.36363636,0.454545455,12.82051282,0
0,0,0,0
-50,-0.5,-33.33333333,0
-33.33333333,-0.333333333,-25,0
66.66666667,2,200,0
13.33333333,0.8,15.38461538,0
-50,-0.5,-33.33333333,0
-5,-0.1,-4.761904762,0
-66.66666667,-0.666666667,-40,0
50,1,100,0
-280,-2.8,-73.68421053,0
0,0,0,0
0,0,0,0
30.76923077,1.230769231,44.44444444,0
46.42857143,1.857142857,86.66666667,0
0,0,0,0
32.69230769,2.615384615,48.57142857,0
0,0,0,0
-66.66666667,-0.666666667,-40,0
-33.33333333,-0.333333333,-25,0
0,0,0,0
11.11111111,0.666666667,12.5,0
0,0,0,0
-100,-1,-50,0
50,1,100,0
-154.5454545,-1.545454545,-60.71428571,0
7.142857143,0.142857143,7.692307692,0
13.33333333,0.4,15.38461538,0
37.5,0.75,60,0
-100,-1,-50,0
0,0,0,0
-80,-0.8,-44.44444444,0
-48.14814815,-2.888888889,-32.5,0
62.96296296,5.666666667,170,0
-50,-0.5,-33.33333333,0
-33.33333333,-0.333333333,-25,0
8.333333333,0.166666667,9.090909091,0
0,0,0,0
40,2.8,66.66666667,0
-127.2727273,-1.272727273,-56,0
0,0,0,0
-50,-0.5,-33.33333333,0
0,0,0,0
50,1,100,0
-62.96296296,-1.888888889,-38.63636364,0
0,0,0,0
-300,-3,-75,0
-33.33333333,-0.333333333,-25,0
-381.8181818,-3.818181818,-79.24528302,0
-31.81818182,-0.636363636,-24.13793103,0
50,1,100,0
-33.33333333,-0.333333333,-25,0
-40,-0.4,-28.57142857,0
-525,-5.25,-84,0
60,3,150,0
-250,-2.5,-71.42857143,0
-150,-1.5,-60,0
41.66666667,1.25,71.42857143,0
-128.5714286,-1.285714286,-56.25,0
-100,-1,-50,0
-100,-2,-50,0
-200,-2,-66.66666667,0
58.33333333,3.5,140,0
-25,-0.75,-20,0
-166.6666667,-1.666666667,-62.5,0
-62.5,-0.625,-38.46153846,0
-166.6666667,-1.666666667,-62.5,0
0,0,0,0
-85.71428571,-0.857142857,-46.15384615,0
-171.4285714,-1.714285714,-63.15789474,0
-200,-2,-66.66666667,0
-133.3333333,-1.333333333,-57.14285714,0
0,0,0,0
-127.7777778,-3.833333333,-56.09756098,0
0,0,0,0
-33.33333333,-0.333333333,-25,0
0,0,0,0
37.5,0.75,60,0
-150,-1.5,-60,0
-100,-1,-50,0
-66.66666667,-0.666666667,-40,0
-80,-0.8,-44.44444444,0
-15,-0.6,-13.04347826,0
-31.66666667,-1.9,-24.05063291,0
-150,-1.5,-60,0
50,1,100,0
