district_id,district,treatment_control_group,district_price_effect,total_token_price_effect,total_phone_price_effect,mean_post_price_effect_count,mean_post_price_effect_percent,mean_reorder_price_effect_count,mean_reorder_price_effect_percent,lag_total_token_price_effect,lag_total_phone_price_effect,total_token_price_effect_detrend,total_phone_price_effect_detrend,total_token,total_phone,reorder_payment_count,total_token_price_effect_ratio,total_phone_price_effect_ratio,total_token_price_effect_detrend_ratio,total_phone_price_effect_detrend_ratio
424,qarchak,0,1,13,11,,,,,108,1116,-95,-1105,,,,,,,
424,qarchak,0,2,2,1,,,,,13,11,-11,-10,,,,,,,
920,bagh-feyz,10,0,207,5064,-0.494916313,-12.96513106,1.491474886,107.378634,,,,,39237,35032,23399,0.005275633,0.144553551,,
920,bagh-feyz,10,1,165,121,,,,,207,5064,-42,-4943,39237,35032,23399,0.004205214,0.003453985,-0.001070418,-0.141099566
920,bagh-feyz,10,2,48,28,,,,,165,121,-117,-93,39237,35032,23399,0.001223335,0.000799269,-0.002981879,-0.002654716
205,sattarkhan,10,0,466,5523,-0.441053729,-2.995884635,1.81511988,113.9218142,,,,,60451,53671,55887,0.007708723,0.102904734,,
205,sattarkhan,10,1,395,202,,,,,466,5523,-71,-5321,60451,53671,55887,0.006534218,0.003763671,-0.001174505,-0.099141063
205,sattarkhan,10,2,50,25,,,,,395,202,-345,-177,60451,53671,55887,0.000827116,0.000465801,-0.005707102,-0.00329787
934,tavanir,11,0,39,856,-0.896886447,-31.94292724,1.744566545,132.9236196,,,,,4831,4487,4191,0.008072863,0.190773345,,
934,tavanir,11,2,19,18,,,,,39,856,-20,-838,4831,4487,4191,0.003932933,0.004011589,-0.00413993,-0.186761756
957,east-shareq,10,0,8,226,0.082142857,25.0877193,1.085714286,,,,,,2234,1879,437,0.003581021,0.120276743,,
957,east-shareq,10,1,6,5,,,,,8,226,-2,-221,2234,1879,437,0.002685765,0.00266099,-0.000895255,-0.117615753
123,tehran-no,20,0,281,1614,0.336509095,12.40119382,-0.110824073,15.38190613,,,,,17342,15635,4441,0.016203437,0.103229933,,
123,tehran-no,20,1,77,47,,,,,281,1614,-204,-1567,17342,15635,4441,0.004440088,0.003006076,-0.011763349,-0.100223857
123,tehran-no,20,2,3,2,,,,,77,47,-74,-45,17342,15635,4441,0.00017299,0.000127918,-0.004267097,-0.002878158
246,masoudieh,31,0,155,869,-0.659273782,-9.733653843,0.878395262,42.07451499,,,,,17118,15386,2946,0.009054796,0.056479917,,
246,masoudieh,31,2,17,15,,,,,155,869,-138,-854,17118,15386,2946,0.000993107,0.000974912,-0.008061689,-0.055505005
1006,haftchenar,20,0,26,694,-0.501488095,-3.798358075,0.450892857,-41.66666667,,,,,5178,4474,1299,0.005021244,0.155118462,,
1006,haftchenar,20,1,11,10,,,,,26,694,-15,-684,5178,4474,1299,0.002124372,0.002235136,-0.002896871,-0.152883326
1006,haftchenar,20,2,7,7,,,,,11,10,-4,-3,5178,4474,1299,0.001351873,0.001564595,-0.000772499,-0.000670541
57,evin,10,0,52,640,-0.121085137,2.007601028,0.612617605,94.75572047,,,,,4648,4367,2297,0.011187608,0.146553698,,
57,evin,10,1,24,14,,,,,52,640,-28,-626,4648,4367,2297,0.005163511,0.003205862,-0.006024096,-0.143347836
81,vanak-village,10,0,7,205,-0.038888889,-0.779220779,0.922222222,,,,,,1664,1555,471,0.004206731,0.131832797,,
81,vanak-village,10,1,6,5,,,,,7,205,-1,-200,1664,1555,471,0.003605769,0.003215434,-0.000600962,-0.128617363
81,vanak-village,10,2,1,1,,,,,6,5,-5,-4,1664,1555,471,0.000600962,0.000643087,-0.003004808,-0.002572347
